--- PRUEBA DE GENERACIÓN DE MUESTRAS ITERATIVAS ---
Población total: 20000000 valores
Tamaño de muestra por iteración: 385 valores

--- ITERACIÓN 1 (192 puntos) ---
X,Y
717248,206710
873953,501594
773479,343752
158387,571968
794291,956600
531920,739041
390833,929362
456127,960545
693919,513402
480436,126593
388690,496123
863947,580626
81702,329394
135539,420123
898016,875303
103645,710244
905307,446734
597279,456702
738181,381666
567559,576230
580430,986994
205787,744806
564021,655502
873086,50465
608081,540447
982187,667119
647548,350366
956829,167484
727338,439773
561338,977016
456383,120870
819856,97747
279922,579307
552416,417526
778659,656448
278005,366660
817051,331225
529901,720291
492853,176005
769193,551106
652405,960968
50917,435647
929221,179209
520489,20268
374342,905620
598737,865636
470699,386320
451955,674073
210140,197531
556734,424284
542649,765707
267166,996670
842879,364211
785043,923314
582305,174735
179444,207070
383998,598133
148054,916780
442120,856721
864498,256209
245367,651231
399416,742447
747723,882704
661021,487396
267630,624825
334860,443008
576285,411084
830843,638203
41754,676569
987110,483422
404039,468301
693363,838659
798719,71673
659045,952088
798401,374734
403216,482528
48770,280966
204805,293433
36163,425420
132313,577894
395414,53539
863255,986330
551011,307226
39204,905222
436519,635681
101516,504084
955469,529519
256847,133149
529814,729942
812391,593265
744528,576261
437871,874701
344788,286690
449363,436969
411523,40343
344690,279175
196396,121721
268936,896225
135569,807090
342648,185595
778897,136061
6442,312803
970488,704955
534964,413761
251284,879556
564861,619235
823277,345705
223985,653264
613786,925200
515710,549737
448725,329335
838081,490704
904528,40082
512204,968886
791628,939412
488205,400502
593747,868677
360903,662635
465888,448309
622712,751971
377346,540854
122387,598089
292944,730329
506257,871254
116805,403389
234403,589866
322227,883438
80898,609073
349379,851840
453712,838895
827206,900385
94455,343093
54333,712030
426854,418579
180725,519699
713831,868182
341583,131877
720349,816725
564526,413345
818405,847752
255269,782408
548253,846461
169782,329751
565232,806791
870816,981898
586311,343971
872475,66428
346742,334443
315947,245223
716647,890339
545917,568959
994536,168053
170111,595711
815931,750810
564942,193369
828098,960731
597328,64380
382768,571531
536603,43895
969004,947148
553797,364226
67816,811581
664711,186286
772962,284022
769144,788489
699561,885575
956685,966964
685837,317902
680762,533286
995702,410206
649677,641233
575938,942204
220809,670033
553303,198551
774721,578090
546244,186132
141874,16856
286410,304313
185332,330854
222114,828807
813710,462293
405655,556587
761974,495998
831659,760045
586264,466538
136032,698194
929409,31190
558760,707863
818601,200970
666330,724667
160734,697397
975024,276446

--- ITERACIÓN 2 (192 puntos) ---
X,Y
309766,237239
379969,985589
300443,185341
8089,810124
668693,786482
598178,856900
352022,152460
674039,771221
607308,341415
479917,189773
449102,706533
6362,538420
785815,192214
133703,636244
448388,585759
7965,67129
951257,186967
241518,611459
863193,260597
728044,362678
837066,406188
950923,869271
195228,405621
905980,334942
782006,950431
555546,277784
7914,457247
475595,40071
258615,791102
783790,175354
762905,458318
359967,873998
36470,113621
679158,849034
435555,913345
582182,889023
323555,990226
117842,503168
546874,255281
107298,215933
323312,532180
955269,329057
284546,971514
825931,296246
853132,161474
891346,769215
920792,292370
574134,491799
156214,412751
420523,952139
93454,602161
869192,779155
623597,473158
836763,415765
897824,763895
787511,781853
253783,370059
3311,950732
489209,916206
941317,339260
500153,595205
132289,835383
824329,354280
755596,960789
195072,368279
531441,792678
713183,223799
120750,364486
324465,858618
77834,837802
848875,86890
256154,805229
982933,82807
377115,669681
128930,530928
431324,994080
146192,483315
135736,235797
301970,41617
913014,592052
650490,100359
909931,21731
709598,852279
42342,618922
382050,404923
365943,96266
628703,599306
642735,206571
12634,917553
325357,393257
115515,712428
849628,227001
463976,571575
341258,763708
925525,979301
86540,698574
701628,263415
843490,893456
809220,555060
669151,852982
703606,535307
401421,160169
105395,80591
706253,30972
244398,659421
390715,191087
643733,354836
90863,887815
182034,263093
998984,567057
81044,8580
806618,668957
656836,289107
987428,288379
369987,935389
532680,19259
30427,287016
896942,999815
613580,118693
585085,33233
50924,639391
905277,525766
952620,676652
239870,676143
815922,579873
311657,483443
630455,494284
46536,435123
765118,524888
168140,977214
447855,310845
551702,788489
260483,950893
766217,139122
386357,404376
191231,695284
371774,260726
815977,813360
373557,599997
51824,193275
859414,158496
905205,526362
701640,575838
680261,493577
978905,988737
544859,321208
266445,909280
108224,403333
301810,26179
796271,851371
884373,606180
744748,456665
494534,550913
899505,841025
55730,926058
394305,205570
515573,829458
71376,898805
557450,588876
725085,652146
947013,624185
327324,863878
211450,879695
606575,365145
691809,486916
340070,993322
751371,433081
221796,411789
426991,132464
112071,894615
188071,234674
715219,323856
242989,143550
502411,745215
261757,57433
697522,843953
789873,258819
438643,308590
25053,664308
164778,589119
272937,657874
778128,345700
995795,49127
889066,217085
371750,875032
852265,949006
217015,587169
400799,441510
794287,610207
844429,965572
527634,337585
353707,332866

--- ITERACIÓN 3 (192 puntos) ---
X,Y
164468,514177
73313,697137
530793,316524
504453,382883
796861,991817
911774,936789
194472,271206
948517,819989
383093,917849
393619,254822
802875,589697
846207,693099
185888,75020
377265,382902
907219,311819
581602,978661
481791,969474
570756,339793
489200,305182
440034,153336
342359,53301
464795,377388
203107,183186
102289,242990
744168,314163
472373,142325
605157,560220
931158,634047
867954,256995
427488,267463
203396,478460
970473,845192
59264,357495
733860,772619
372643,512540
400229,902042
939658,961915
461752,932146
124982,294294
422811,432435
648421,847467
659021,745189
373435,44611
562742,705915
620791,598256
40327,110257
177147,148636
854698,56292
87172,468706
852367,362694
379424,663507
81100,62331
255164,601643
746030,952188
551399,432310
939096,374615
716993,624964
363500,91530
517967,466569
773968,595030
178230,253929
33156,820235
609077,987584
778919,195248
613819,230750
557998,626629
184535,32787
502666,549171
825229,661267
205240,25936
809801,851775
772764,254130
578909,381295
